game_pk,weather_source,weather_hour_utc,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,precip_mm,wind_out_to_center_ms,wind_left_to_right_ms,roof_category
822695,open-meteo-forecast,2026-08-24T22:00,23.7,27,1012.9,2.72,6,0.0,-2.522,1.019,open
822693,open-meteo-forecast,2026-08-25T22:00,24.0,32,1019.6,2.86,102,0.0,-0.788,-2.749,open
823673,open-meteo-forecast,2026-08-11T23:00,32.7,35,981.1,2.05,47,0.0,-0.285,2.03,open
823672,open-meteo-forecast,2026-08-12T17:00,31.3,46,981.0,1.04,17,0.0,0.39,0.964,open
823671,open-meteo-forecast,2026-08-15T23:00,27.4,50,984.6,5.32,296,0.0,5.184,-1.197,open
823670,open-meteo-forecast,2026-08-16T18:00,25.4,39,990.3,4.22,346,0.0,3.37,2.54,open
823668,open-meteo-forecast,2026-08-17T23:00,25.6,47,985.6,1.35,318,0.0,1.333,0.211,open
823667,open-meteo-forecast,2026-08-18T23:00,28.3,42,981.7,5.33,320,0.0,5.232,1.017,open
823664,open-meteo-forecast,2026-08-19T17:00,28.1,33,987.4,1.66,295,0.0,1.611,-0.402,open
823512,open-meteo-forecast,2026-08-11T23:00,22.0,93,1009.4,5.87,81,0.0,-5.838,-0.614,open
823511,open-meteo-forecast,2026-08-12T23:00,27.3,50,1009.0,2.32,97,0.0,-2.151,-0.869,open
823508,open-meteo-forecast,2026-08-13T17:00,31.4,38,1010.7,3.47,316,0.0,1.682,3.035,open
823510,open-meteo-forecast,2026-08-21T23:00,30.2,38,1016.0,4.44,239,0.0,4.268,-1.224,open
823509,open-meteo-forecast,2026-08-22T17:00,33.1,37,1012.6,2.26,257,0.0,2.259,0.079,open
823507,open-meteo-forecast,2026-08-23T17:00,20.1,71,1012.4,4.24,313,0.1,2.247,3.596,open
823505,open-meteo-forecast,2026-08-25T23:00,23.5,35,1019.6,2.26,167,0.0,0.079,-2.259,open
824563,open-meteo-forecast,2026-08-11T23:00,25.2,89,989.9,1.5,90,0.0,-1.198,0.903,open
