audit_id,event_id,home_team,away_team,commence_time,snapshot_role,requested_snapshot,returned_snapshot,status,quote_count,odds_credits_used,discovery_credits_used,credits_remaining,error
bbb2013c705bff65e6061e88b681ebb6|close|2020-07-31T22:50:00Z|us,bbb2013c705bff65e6061e88b681ebb6,Detroit Tigers,Cincinnati Reds,2020-07-31T23:10:00Z,close,2020-07-31T22:50:00Z,2020-07-31T22:45:00Z,offered,24,30,0,4997614,
537fc934318205a2a4a019cca8ae34d1|close|2020-07-31T22:50:00Z|us,537fc934318205a2a4a019cca8ae34d1,Atlanta Braves,New York Mets,2020-07-31T23:10:00Z,close,2020-07-31T22:50:00Z,2020-07-31T22:45:00Z,offered,25,30,0,4997584,
96e9f1e96e7cbea012b54a0add23b9fd|close|2020-07-31T23:45:00Z|us,96e9f1e96e7cbea012b54a0add23b9fd,Kansas City Royals,Chicago White Sox,2020-08-01T00:05:00Z,close,2020-07-31T23:45:00Z,2020-07-31T23:45:00Z,offered,25,30,0,4997554,
03559ea889f8767010b98d3ea06febc4|close|2020-07-31T23:50:00Z|us,03559ea889f8767010b98d3ea06febc4,Colorado Rockies,San Diego Padres,2020-08-01T00:10:00Z,close,2020-07-31T23:50:00Z,2020-07-31T23:45:00Z,offered,25,30,0,4997524,
4d3fcd0f8404bdc528c38a04db648fa7|close|2020-07-31T23:55:00Z|us,4d3fcd0f8404bdc528c38a04db648fa7,Chicago Cubs,Pittsburgh Pirates,2020-08-01T00:15:00Z,close,2020-07-31T23:55:00Z,2020-07-31T23:55:00Z,offered,25,30,0,4997494,
2b988fa754bfc3fc031fcffa3b513b26|close|2020-08-01T00:50:00Z|us,2b988fa754bfc3fc031fcffa3b513b26,San Francisco Giants,Texas Rangers,2020-08-01T01:10:00Z,close,2020-08-01T00:50:00Z,2020-08-01T00:45:00Z,offered,25,30,0,4997464,
a17d0403abd93dde322e3045776521e9|close|2020-08-01T01:20:00Z|us,a17d0403abd93dde322e3045776521e9,Seattle Mariners,Oakland Athletics,2020-08-01T01:40:00Z,close,2020-08-01T01:20:00Z,2020-08-01T01:15:00Z,offered,24,30,0,4997434,
163e04f985b0b5e59d3690f3b0ff284f|close|2020-08-01T01:20:00Z|us,163e04f985b0b5e59d3690f3b0ff284f,Arizona Diamondbacks,Los Angeles Dodgers,2020-08-01T01:40:00Z,close,2020-08-01T01:20:00Z,2020-08-01T01:15:00Z,offered,22,30,0,4997404,
e629fd27e6f2b29624e53509f6f5fd3e|close|2020-08-01T21:50:00Z|us,e629fd27e6f2b29624e53509f6f5fd3e,Detroit Tigers,Cincinnati Reds,2020-08-01T22:10:00Z,close,2020-08-01T21:50:00Z,,failed,0,0,1,,<HTTPError 404: 'Not Found'>
3ccaadde34f8dc37be3f374ec7e6d980|close|2020-08-01T22:45:00Z|us,3ccaadde34f8dc37be3f374ec7e6d980,Kansas City Royals,Chicago White Sox,2020-08-01T23:05:00Z,close,2020-08-01T22:45:00Z,2020-08-01T22:45:00Z,offered,25,30,0,4997374,
f665d1fc059c40f38ae14d7c704741cb|close|2020-08-01T22:50:00Z|us,f665d1fc059c40f38ae14d7c704741cb,Minnesota Twins,Cleveland Indians,2020-08-01T23:10:00Z,close,2020-08-01T22:50:00Z,2020-08-01T22:45:00Z,offered,24,30,0,4997344,
56d2ef6063ecfde93c13241e5bd5b656|close|2020-08-01T22:50:00Z|us,56d2ef6063ecfde93c13241e5bd5b656,Atlanta Braves,New York Mets,2020-08-01T23:10:00Z,close,2020-08-01T22:50:00Z,2020-08-01T22:45:00Z,offered,24,30,0,4997314,
