game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
823486,2026-03-26,691945,pitcher,0.0,26,6.0,11.0,2.0,4.0,12.0,3.0,0.0,1.769023,6.0,2.65,6.0,737.3,9.0,2327.4,26.0,62321.0,26.0,0.617
823649,2026-03-26,472610,pitcher,1.0,20,6.0,13.0,6.0,3.0,9.0,4.0,0.0,1.698,6.0,3.4,6.0,590.7,7.0,1761.8,20.0,38696.0,20.0,0.95
823649,2026-03-26,642397,pitcher,0.0,8,3.0,7.0,5.0,1.0,4.0,1.0,0.0,0.75,3.0,0.0,3.0,153.6,2.0,673.8,8.0,20031.0,8.0,-0.78
823649,2026-03-26,642547,pitcher,1.0,80,21.0,40.0,14.0,13.0,41.0,14.0,1.0,5.305,21.0,7.95,21.0,2032.2,26.0,7037.9,80.0,183638.0,80.0,1.6229999999999998
823649,2026-03-26,642701,pitcher,0.0,18,4.0,6.0,1.0,5.0,7.0,2.0,0.0,0.8275440000000001,4.0,0.7,4.0,398.7,5.0,1614.6,18.0,44001.0,18.0,-0.4549999999999999
823649,2026-03-26,664875,pitcher,0.0,14,5.0,8.0,0.0,2.0,9.0,5.0,2.0,3.765,5.0,4.0,5.0,750.2,8.0,1237.0,14.0,36619.0,14.0,2.388
823649,2026-03-26,668964,pitcher,1.0,39,10.0,17.0,3.0,5.0,18.0,9.0,0.0,1.577,10.0,2.0,10.0,1198.3,14.0,3325.0,39.0,81216.0,39.0,-0.755
823649,2026-03-26,670990,pitcher,0.0,37,9.0,15.0,3.0,7.0,18.0,5.0,0.0,1.305544,9.0,1.6,9.0,869.6,11.0,3351.9,37.0,88926.0,37.0,-1.127
823649,2026-03-26,676755,pitcher,0.0,36,7.0,19.0,4.0,2.0,13.0,4.0,0.0,3.016088,7.0,4.1,7.0,1012.5,13.0,3347.1,36.0,82223.0,36.0,1.533
823649,2026-03-26,682254,pitcher,0.0,42,8.0,20.0,6.0,3.0,20.0,3.0,1.0,3.605632,8.0,3.0,8.0,1018.7,13.0,3950.2,42.0,100524.0,42.0,0.757
823649,2026-03-26,694973,pitcher,0.0,37,9.0,20.0,5.0,6.0,16.0,5.0,0.0,3.401567,9.0,6.75,9.0,1114.9,14.0,3459.7,37.0,85156.0,37.0,2.72
823812,2026-03-26,656457,pitcher,0.0,18,6.0,9.0,1.0,2.0,9.0,5.0,2.0,4.155544,6.0,3.6,6.0,685.0,8.0,1548.0,18.0,39359.0,18.0,1.493
823812,2026-03-26,656794,pitcher,0.0,37,10.0,19.0,3.0,7.0,20.0,8.0,0.0,2.343,8.0,3.3000000000000003,8.0,1115.6,14.0,2996.5,33.0,79095.0,33.0,0.0979999999999999
823812,2026-03-26,663765,pitcher,1.0,16,4.0,10.0,4.0,2.0,9.0,1.0,1.0,1.432,4.0,2.0,4.0,442.2,5.0,1410.2,16.0,30737.0,16.0,0.3359999999999999
823812,2026-03-26,663855,pitcher,0.0,34,7.0,12.0,0.0,5.0,17.0,3.0,0.0,3.748176,7.0,4.6,7.0,907.0,11.0,3261.7,34.0,64473.0,34.0,1.995
823812,2026-03-26,669084,pitcher,1.0,27,6.0,11.0,3.0,6.0,10.0,1.0,0.0,1.7290880000000002,6.0,2.3,6.0,535.2,8.0,2363.9,27.0,60348.0,27.0,0.36
823812,2026-03-26,673929,pitcher,0.0,11,3.0,6.0,1.0,1.0,4.0,3.0,0.0,0.792,3.0,0.0,3.0,404.6,5.0,1012.2,11.0,25583.0,11.0,-0.7789999999999999
